
==> ./c1_exps/experiment_results/CRAUNet_epoch_100_20250614_001316/evaluation_results_generic.csv <==
image_index,study_uid,sop_uid,cmt1_pred_x,cmt1_pred_y,cmt1_orig_x,cmt1_orig_y,cmt1_pixel_dist,cmt1_mm_dist,cmtc_pred_x,cmtc_pred_y,cmtc_orig_x,cmtc_orig_y,cmtc_pixel_dist,cmtc_mm_dist,cmt2_pred_x,cmt2_pred_y,cmt2_orig_x,cmt2_orig_y,cmt2_pixel_dist,cmt2_mm_dist
1,N/A,554602,441.5156555175781,299.9595642089844,430.0,282.0,21.334391685167873,21.334391685167873,253.93203735351562,208.58544921875,317.0,235.0,68.37613915214564,68.37613915214564,89.11022186279297,255.71961975097656,139.0,282.0,56.38837068592248,56.38837068592248
2,N/A,554662,451.74993896484375,268.3263244628906,458.0,300.0,32.28443874335218,32.28443874335218,255.046875,224.13291931152344,296.0,253.0,50.104558622351334,50.104558622351334,74.01943969726562,273.1745910644531,88.0,311.0,40.32638872400728,40.32638872400728
3,N/A,554682,432.92437744140625,267.5100402832031,483.0,281.0,51.860842528747504,51.860842528747504,253.1961669921875,241.75975036621094,258.0,225.0,17.434621989152976,17.434621989152976,45.842796325683594,275.2689208984375,75.0,281.0,29.715110529391215,29.715110529391215
4,N/A,554712,432.6325988769531,311.40325927734375,125.0,277.0,309.5503192385569,309.5503192385569,253.15414428710938,237.78890991210938,267.0,239.0,13.898721510382632,13.898721510382632,95.68885040283203,267.9448547363281,419.0,277.0,323.43793084545376,323.43793084545376
5,N/A,554742,441.837646484375,302.6883850097656,414.0,282.0,34.68348073797281,34.68348073797281,267.65789794921875,220.93812561035156,238.0,207.0,32.76983759947876,32.76983759947876,84.42752838134766,273.33837890625,88.0,295.0,21.954233802965465,21.954233802965465
6,N/A,554812,421.4651184082031,277.794189453125,389.0,284.0,33.05292721987501,33.05292721987501,222.69744873046875,207.4351043701172,219.0,245.0,37.746423814693145,37.746423814693145,63.44659423828125,258.36041259765625,49.0,284.0,29.42944999907347,29.42944999907347
7,N/A,554822,420.8392028808594,267.304443359375,127.0,279.0,294.0718673977382,294.0718673977382,242.64340209960938,219.84683227539062,265.0,233.0,25.938837500386487,25.938837500386487,52.3131103515625,275.1868591308594,449.0,267.0,396.7713612162301,396.7713612162301
8,N/A,554932,454.7828674316406,278.7563171386719,59.0,284.0,395.8176023907499,395.8176023907499,266.2277526855469,226.36712646484375,260.0,191.0,35.9112592078388,35.9112592078388,79.84020233154297,280.18988037109375,477.0,269.0,397.31740247158706,397.31740247158706
9,N/A,555542,408.8071594238281,267.08929443359375,481.0,272.0,72.35966597225627,72.35966597225627,211.81349182128906,209.91517639160156,267.0,195.0,57.16653891702311,57.16653891702311,83.59685516357422,264.102783203125,31.0,278.0,54.40185481945766,54.40185481945766
10,N/A,555732,393.1134948730469,282.1883850097656,429.0,285.0,35.99647800938508,35.99647800938508,226.37355041503906,215.74200439453125,225.0,218.0,2.6429500367903604,2.6429500367903604,58.921539306640625,275.860595703125,108.0,294.0,52.323353220862174,52.323353220862174

==> ./c1_exps/experiment_results/CRAUNet_baseline_20250613_233713/evaluation_results_generic.csv <==
image_index,study_uid,sop_uid,cmt1_pred_x,cmt1_pred_y,cmt1_orig_x,cmt1_orig_y,cmt1_pixel_dist,cmt1_mm_dist,cmtc_pred_x,cmtc_pred_y,cmtc_orig_x,cmtc_orig_y,cmtc_pixel_dist,cmtc_mm_dist,cmt2_pred_x,cmt2_pred_y,cmt2_orig_x,cmt2_orig_y,cmt2_pixel_dist,cmt2_mm_dist
1,N/A,554632,431.79925537109375,289.7540588378906,392.0,307.0,43.37514512552636,43.37514512552636,231.107177734375,223.80406188964844,198.0,204.0,38.578311068066746,38.578311068066746,81.46240997314453,327.1755676269531,15.0,261.0,93.78943272132415,93.78943272132415
2,N/A,554652,400.10101318359375,273.5375671386719,428.0,272.0,27.941323842794805,27.941323842794805,185.03829956054688,245.01974487304688,234.0,203.0,64.52059414728521,64.52059414728521,59.31380844116211,318.9397277832031,18.0,260.0,71.97723445000595,71.97723445000595
3,N/A,554662,451.4293518066406,307.0244140625,458.0,300.0,9.618513949792066,9.618513949792066,290.7691955566406,236.8877410888672,296.0,253.0,16.940076810452982,16.940076810452982,79.22441864013672,315.784912109375,88.0,311.0,9.995309504863938,9.995309504863938
